unix,open,high,low,close,Volume USD
1527105600,7590.34,7649,7516.97,7596.24,870.92
1527109200,7596.24,7641.49,7561.72,7640.23,229.17
1527112800,7640.23,7653.56,7543.4,7562.1,371.65
1527116400,7562.1,7582.97,7468.31,7502.89,822
1527120000,7502.89,7613.19,7502.89,7584.1,325.18
1527123600,7584.1,7654,7573.92,7601.65,540.25
1527127200,7601.65,7631.44,7563.71,7584.02,256.6
1527130800,7584.02,7654.44,7573.34,7613.52,277.82
1527134400,7613.52,7733.99,7613.52,7733.99,525.96
1527138000,7733.99,7733.99,7656.9,7691.78,358.18
1527141600,7691.78,7709.12,7627.52,7650.22,270.15
1527145200,7650.22,7680.92,7526.94,7567.1,590.82
1527148800,7567.1,7571.62,7375.65,7411.24,1023.99
1527152400,7411.24,7426,7267.24,7373.51,848.47
1527156000,7373.51,7412.57,7296.98,7354,512.51
1527159600,7354,7410.73,7339.5,7375.56,552.58
1527163200,7375.56,7543.27,7284.14,7508.78,1028.52
1527166800,7508.78,7542.92,7472.81,7499.94,512.07
1527170400,7499.94,7575,7456.5,7508,745.34
1527174000,7508,7578,7490.16,7566.92,612.14
1527177600,7566.92,7567.93,7483.2,7518.99,461.19
1527181200,7518.99,7544.47,7450.01,7524.49,458.51
1527184800,7524.49,7608.51,7487.34,7586.42,444.61
1527188400,7586.42,7635,7562.12,7585.48,230.02
1527192000,7585.48,7585.48,7511.27,7550,321.09
1527195600,7550,7567.57,7486.98,7538.55,241.01
1527199200,7538.55,7597,7510.6,7584.99,212.59
1527202800,7584.99,7624.94,7543.27,7586.88,298.79
1527206400,7586.88,7588.56,7524.47,7560.55,206.5
1527210000,7560.55,7575.97,7508.74,7563.99,194.76
1527213600,7563.99,7661.07,7557.03,7632.98,468.03
1527217200,7632.98,7639,7572.25,7600.8,188.05
1527220800,7600.8,7620.31,7562.32,7588.75,257.19
1527224400,7588.75,7644.98,7579.4,7625.99,145.64
1527228000,7625.99,7657.13,7476.11,7510.95,637.02
1527231600,7510.95,7526.16,7380,7421.99,1056.5
1527235200,7421.99,7468.31,7388,7466,660.15
1527238800,7466,7468.3,7395.32,7419.99,265.85
1527242400,7419.99,7468.31,7328.13,7362.71,977.49
1527246000,7362.71,7490,7328.14,7456.83,1214.39
1527249600,7456.83,7543.27,7448.32,7509,440.78
1527253200,7509,7510.79,7464.37,7482.99,346.24
1527256800,7482.99,7518.6,7462.92,7477.73,401.45
1527260400,7477.73,7522.06,7415.2,7500,338.95
1527264000,7500,7509.7,7452.92,7479.95,213.22
1527267600,7479.95,7486.43,7408.75,7426.2,609.72
1527271200,7426.2,7453.46,7400.01,7424.27,303.4
1527274800,7424.27,7445.19,7361.85,7427.02,348.3
1527278400,7427.02,7464.52,7401.54,7455.49,210.6
1527282000,7455.49,7455.67,7413.03,7441.7,139.06
1527285600,7441.7,7450,7360.5,7405.44,148.65
1527289200,7405.44,7505.99,7379.38,7471.18,316.9
1527292800,7471.18,7471.18,7420.28,7441.94,313.16
1527296400,7441.94,7471.96,7422.08,7447.69,111.87
1527300000,7447.69,7453.1,7413.4,7426.68,62.91
1527303600,7426.68,7447.51,7417.63,7447.51,37.64
1527307200,7447.51,7447.51,7375.65,7392.19,161.64
1527310800,7392.19,7447.39,7370.01,7445.7,170.16
1527314400,7445.7,7447.4,7406.09,7422.96,217
1527318000,7422.96,7622.87,7410.91,7550.15,567.19
1527321600,7550.15,7569.87,7524.46,7541.17,135.74
1527325200,7541.17,7570,7532.55,7545,75.41
1527328800,7545,7551.19,7512.5,7551.19,89.64
1527332400,7551.19,7569.77,7512.89,7533.86,279.84
1527336000,7533.86,7551.2,7486.98,7529.4,216.82
1527339600,7529.4,7564.46,7501.7,7538.74,46.27
1527343200,7538.74,7551.64,7514.49,7529.99,60.77
1527346800,7529.99,7552.05,7519.99,7534.58,62.06
1527350400,7534.58,7550,7519.99,7529.94,67.43
1527354000,7529.94,7560.95,7515.21,7539.18,67.72
1527357600,7539.18,7561.99,7532.32,7546.99,53.4
1527361200,7546.99,7556.07,7514.47,7519.28,124.91
1527364800,7519.28,7547.5,7518.04,7521.71,47.89
1527368400,7521.71,7614.9,7451,7468.99,355.38
1527372000,7468.99,7475,7276.04,7321.8,499.63
1527375600,7321.8,7357.26,7292.32,7335.99,219.09
1527379200,7335.99,7336,7213.09,7268.39,411.79
1527382800,7268.39,7318.81,7255.01,7278,96.45
1527386400,7278,7336,7278,7317.72,165.8
1527390000,7317.72,7317.72,7272.2,7295.99,94.02
1527393600,7295.99,7321.66,7279.92,7306.6,65.81
1527397200,7306.6,7318.36,7251.1,7286.78,128.66
1527400800,7286.78,7313.4,7273.71,7301.39,91.74
1527404400,7301.39,7350,7272.21,7320.84,193.37
1527408000,7320.84,7337.39,7239.45,7296.71,234.5
1527411600,7296.71,7350,7296.18,7327.21,216.24
1527415200,7327.21,7395.83,7320.63,7340.82,366.03
1527418800,7340.82,7362.77,7301.8,7341.14,94.11
1527422400,7341.14,7351.94,7298.01,7317.57,59.86
1527426000,7317.57,7319.65,7284.19,7308.8,35.1
1527429600,7308.8,7369.57,7290.3,7355,64.26
1527433200,7355,7365.96,7323.35,7337.99,38.44
1527436800,7337.99,7366.79,7328.95,7348.07,55.73
1527440400,7348.07,7362.11,7327.3,7362.11,84.67
1527444000,7362.11,7412.57,7280.01,7292.33,264.28
1527447600,7292.33,7313.41,7283.26,7302.99,84.07
1527451200,7302.99,7340.33,7296.61,7328.7,89.24
1527454800,7328.7,7343.33,7303.02,7340.63,33.82
1527458400,7340.63,7357,7319.11,7357,46.61
1527462000,7357,7388.98,7325.04,7347.39,129.83
1527465600,7347.39,7384.69,7330,7356.07,122.59
1527469200,7356.07,7392.33,7316.19,7372.21,156.54
1527472800,7372.21,7374.63,7349.47,7372.43,55.75
1527476400,7372.43,7445,7357.97,7382.06,300.73
1527480000,7382.06,7396.94,7307,7332.11,289.76
1527483600,7332.11,7357.9,7170,7197,1037.21
1527487200,7197,7232.31,7177,7209.34,586.61
1527490800,7209.34,7247.86,7209.34,7232.84,357.34
1527494400,7232.84,7247.74,7215.42,7235,250.19
1527498000,7235,7250,7212.04,7222.55,172.15
1527501600,7222.55,7248.65,7212,7241,85.57
1527505200,7241,7244.13,7210,7227.81,148.94
1527508800,7227.81,7320.61,7185,7297.03,548.9
1527512400,7297.03,7299.78,7260.42,7269.92,200.45
1527516000,7269.92,7290.4,7242.02,7263.99,96.61
1527519600,7263.99,7282.52,7220.25,7244.95,161.99
1527523200,7244.95,7254.34,7214.83,7219.02,120.49
1527526800,7219.02,7243.88,7203,7238.51,187.23
1527530400,7238.51,7261.33,7210.55,7210.55,99.15
1527534000,7210.55,7272.83,7210.55,7239.22,201.24
1527537600,7239.22,7258.92,7200,7224,181.39
1527541200,7224,7230,7140.78,7166,460.79
1527544800,7166,7180.5,7084.99,7144.36,576.04
1527548400,7144.36,7148.98,7094.01,7112.5,186
1527552000,7112.5,7143.52,7104.76,7119.93,118.34
1527555600,7119.93,7140,7026.9,7113.07,624.45
1527559200,7113.07,7122.26,7073.49,7105.18,93.2
1527562800,7105.18,7139.8,7097.53,7125.46,147.72
1527566400,7125.46,7140,7105.02,7134.39,131.11
1527570000,7134.39,7139.24,7067.39,7101.58,243.58
1527573600,7101.58,7124.12,7090.32,7108.89,184.42
1527577200,7108.89,7162.71,7097.4,7153.55,307.38
1527580800,7153.55,7153.55,7105.85,7124.65,222.78
1527584400,7124.65,7134.18,7097.26,7120.19,589.92
1527588000,7120.19,7200,7117.7,7178.37,1083.14
1527591600,7178.37,7484.39,7178.37,7406.4,2308.88
1527595200,7406.4,7453.38,7380.1,7408.25,647.7
1527598800,7408.25,7474.79,7401.02,7453.01,860.94
1527602400,7453.01,7471.52,7394.74,7414.12,506.27
1527606000,7414.12,7430,7386.11,7425,424.55
1527609600,7425,7445.63,7407.06,7428.5,408.12
1527613200,7428.5,7537,7408.6,7502.89,463.33
1527616800,7502.89,7536.71,7431.1,7457.51,287.25
1527620400,7457.51,7476.92,7442.2,7470,126.14
1527624000,7470,7524.46,7458.36,7496.72,479.06
1527627600,7496.72,7517.71,7469.09,7494.78,202.78
1527631200,7494.78,7504.5,7394.9,7428.38,373.01
1527634800,7428.38,7480.18,7409.67,7469.45,215.84
1527638400,7469.45,7514.5,7436.19,7484.15,386.14
1527642000,7484.15,7559,7479.68,7508.92,542.31
1527645600,7508.92,7545.45,7493.99,7520.94,180.34
1527649200,7520.94,7520.94,7468.54,7485.24,209.83
1527652800,7485.24,7507.58,7466,7486.2,175.73
1527656400,7486.2,7508.65,7482.07,7501.81,165.94
1527660000,7501.81,7530,7417.55,7460.63,427.22
1527663600,7460.63,7502.8,7440,7489.17,287.53
1527667200,7489.17,7495.37,7443.76,7473.41,261
1527670800,7473.41,7515.1,7451.16,7486.96,359.69
1527674400,7486.96,7513.02,7475.32,7508.77,382.02
1527678000,7508.77,7543.27,7485.25,7501.71,365.32
1527681600,7501.71,7543.27,7487.66,7521.67,625.6
1527685200,7521.67,7527.99,7484.53,7512.79,397.74
1527688800,7512.79,7513.45,7356,7379.6,1039.94
1527692400,7379.6,7381.05,7305,7336.6,802.59
1527696000,7336.6,7355.68,7273.89,7302.62,516.66
1527699600,7302.62,7330.5,7284.91,7318.97,140.25
1527703200,7318.97,7330.2,7292.23,7299,227.71
1527706800,7299,7320,7290.1,7314.06,292.14
1527710400,7314.06,7350,7307.84,7340.99,241.28
1527714000,7340.99,7345.95,7312.4,7345.95,272.32
1527717600,7345.95,7368.77,7330.36,7346.67,212.36
1527721200,7346.67,7394.28,7346.08,7375.73,428.78
1527724800,7375.73,7375.73,7344.34,7365.9,152.02
1527728400,7365.9,7365.9,7330.22,7346.95,157.44
1527732000,7346.95,7359.5,7335.2,7341.92,80.86
1527735600,7341.92,7374.52,7340.61,7366.46,125.65
1527739200,7366.46,7498.84,7358,7488.7,558.03
1527742800,7488.7,7520,7467.93,7494.97,310.07
1527746400,7494.97,7599.99,7488.08,7568.01,614.64
1527750000,7568.01,7583.18,7550,7557.01,271.47
1527753600,7557.01,7572.03,7499.7,7543.83,454.66
1527757200,7543.83,7576,7521.06,7532.51,265.87
1527760800,7532.51,7546.95,7509.97,7535.9,164.92
1527764400,7535.9,7558.19,7526.82,7536.63,179.12
1527768000,7536.63,7569,7529.99,7539.74,207.87
1527771600,7539.74,7548.47,7500,7538.76,377.6
1527775200,7538.76,7559.74,7525,7554.24,486
1527778800,7554.24,7592.92,7535.66,7553.33,318.26
1527782400,7553.33,7561.93,7521.8,7544.85,419.13
1527786000,7544.85,7599.99,7538.83,7573.31,365.79
1527789600,7573.31,7601.23,7546.5,7546.5,276.8
1527793200,7546.5,7565.43,7525.01,7539.49,203.76
1527796800,7539.49,7564.49,7520.7,7543.71,206.83
1527800400,7543.71,7565.99,7530.45,7545.69,220.44
1527804000,7545.69,7546.42,7412.57,7450.91,705.6
1527807600,7450.91,7498.76,7435.14,7492.28,216.16
1527811200,7492.28,7538.23,7484.46,7506.67,300.32
1527814800,7506.67,7507.6,7474.7,7492.24,112.12
1527818400,7492.24,7522.7,7479.63,7492.96,184.35
1527822000,7492.96,7506.36,7452.35,7493.29,186.06
1527825600,7493.29,7496.59,7469.47,7489.3,129.95
1527829200,7489.3,7501.37,7482.57,7491.64,170.05
1527832800,7491.64,7581.03,7485.28,7547.99,616.14
1527836400,7547.99,7620.01,7540.71,7575.94,682.03
1527840000,7575.94,7595,7552.7,7593.99,216.93
1527843600,7593.99,7605.32,7516.47,7536.77,421.28
1527847200,7536.77,7559.58,7521.67,7545.99,145.6
1527850800,7545.99,7567.56,7348.45,7359.99,848.33
1527854400,7359.99,7418.99,7350.28,7412.18,697.07
1527858000,7412.18,7430,7388.23,7427.52,183.75
